name,city,country,latitude,longitude
De Friese Bierbrouwerij Us Heit,Bolsward,Netherlands,53.0606,5.5342
De Halve Maan,Brugge,Belgium,51.2026,3.2242
De Leyerth Brouwerijen,Ruiselede,Belgium,51.0811,3.3699
De Proef Brouwerij,Lochristi-Hijfte,Belgium,51.1159,3.8158
De Struise Brouwers,Woesten,Belgium,50.9229,2.7518
Deep Creek Brewing,McHenry,United States,39.5584,-79.3528
DeGroen's Grill,Baltimore,United States,39.2904,-76.6122
Del Mar Stuft Pizza and Brewing,San Diego,United States,32.7153,-117.157
Delafield Brewhaus,Delafield,United States,43.0481,-88.3553
Dempsey's Restaurant & Brewery,Petaluma,United States,38.2362,-122.64
Denmark Brewing,Denmark,United States,44.3478,-87.8273
Denver ChopHouse and Brewery,Denver,United States,39.7553,-104.997
Deschutes Brewery,Bend,United States,44.0474,-121.323
Desnoes & Geddes Ltd,Kingston,Jamaica,33.9858,-96.6515
Devil Mountain Brewing,Cincinnati,United States,39.1361,-84.5031
Diamond Bear Brewing Co.,Little Rock,United States,34.7473,-92.2839
Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305
Diamondback Brewery,Cleveland,United States,41.4995,-81.6954
Dick's Brewing,Centralia,United States,46.7713,-123.007
Diebels Privatbrauerei,Issum,Germany,51.5331,6.4213
Dieu du Ciel,MontrÃ©al,Canada,45.5228,-73.5928
Dillon Dam Brewery,Dillon,United States,39.6282,-106.059
Dinkelacker-Schwaben Bru,Stuttgart,Germany,0,0
Dirt Cheap Cigarettes and Beer,Fenton,United States,38.5405,-90.4607
Dix Barbecue & Brewery,Vancouver,Canada,49.2766,-123.115
Dixie Brewing,New Orleans,United States,29.9606,-90.0871
Dixon's Downtown Grill,Denver,United States,39.7541,-105
Dock Street Beer,West Philly,United States,39.9478,-75.2229
Dockside Brewing,Vancouver,Canada,49.2698,-123.132
Doemens e.V.,Grfelfing,Germany,0,0
Dogfish Head Craft Brewery,Milton,United States,38.7683,-75.3107
Dortmunder Actien Brauerei  DAB,Dortmund,Germany,51.5298,7.4692
Dostal Alley,Central City,United States,39.8019,-105.514
Double Mountain Brewery & Taproom,Hood River,United States,45.71,-121.515
Dragonmead Microbrewery,Warren,United States,42.493,-82.9753
Drake's Brewing,San Leandro,United States,37.7176,-122.182
Dreher Srgyrak Zrt.,Budapest,Hungary,47.4921,19.1422
Dry Gulch Brewing,Albuquerque,United States,35.0845,-106.651
Dublin Brewing,Dublin,Ireland,53.3441,-6.2675
Dubuque Brewing and Bottling,Dubuque,United States,42.5006,-90.6646
Duck-Rabbit Craft Brewery,Farmville,United States,35.6003,-77.5971
DuClaw,Baltimore,United States,39.2807,-76.5944
Dunedin Brewery,Dunedin,United States,28.014,-82.7876
Duneland Brewhouse Pub and Restaurant,Michigan City,United States,41.7075,-86.895
Duvel Moortgat,Breendonk,Belgium,0,0
Dux de Lux,Queenstown,New Zealand,-45.0331,168.661
Eagle Brewing,Mukilteo,United States,0,0
East End Brewing Company,Pittsburgh,United States,40.4553,-79.9043
Eastern Shore Brewing,St Michaels,United States,38.7814,-76.2222
Eddie McStiff's Brewpub,Moab,United States,38.5725,-109.551
Edelweissbrauerei Farny,Kilegg,Germany,0,0
Eder & Heylands,GroÃŸostheim,Germany,49.9211,9.0715
Eel River Brewing,Fortuna,United States,40.5793,-124.153
Efes Moscow Brewery,Moskva,Russia,55.7558,37.6176
Egan Brewing,De Pere,United States,44.4489,-88.0604
Einbecker Brauhaus AG,Einbeck,Germany,51.8162,9.8643
EJ Phair Brewing Company and Alehouse,Concord,United States,37.978,-122.034
el ahram company,,Egypt,0,0
El Toro Brewing Company,Morgan Hill,United States,37.1553,-121.676
"Eldridge, Pope and Co.",Dorchester,United Kingdom,0,0
Elgood & Sons,Wisbech,United Kingdom,52.6643,0.1595
Elk Creek Cafe and Aleworks,Millheim,United States,40.8911,-77.477
Elk Grove Brewery & Restaurant,Elk Grove,United States,38.4093,-121.363
Ellersick Brewing Big E Ales,Lynnwood,United States,47.8099,-122.302
Ellicott Mills Brewing,Ellicott City,United States,39.2684,-76.7994
Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387
Elm City Brewing Co,Keene,United States,42.9324,-72.2867
Elysian Brewery & Public House,Seattle,United States,47.614,-122.316
Elysian Brewing - TangleTown,Seattle,United States,47.6688,-122.334
Emerson Brewing,Dunedin,New Zealand,-45.872,170.518
Emery Pub,Emeryville,United States,37.8313,-122.285
Emmett's Tavern and Brewery,West Dundee,United States,42.0981,-88.2783
Empyrean Brewing Company,Lincoln,United States,40.8155,-96.7105
EndeHouse Brewery and Restaurant,Reedsburg,United States,43.5325,-90.0026
Engel Brauerei Schwbisch Gmnd Lang,Schwbisch Gmnd,Germany,0,0
Engine House #9,Tacoma,United States,47.256,-122.473
English Ales Brewery,Marina,United States,36.6802,-121.804
Epic Brewing Company,Auckland,New Zealand,-36.9489,174.821
Erie Brewing Company,Erie,United States,42.1112,-80.113
Esser's Cross Plains Brewery,Cross Plains,United States,43.1147,-89.6531
Estes Park Brewery,Estes Park,United States,40.3707,-105.526
Etna Brewing,Etna,United States,41.4559,-122.846
Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,Ettal,Germany,47.569,11.0942
F.X. Matt Brewing,Utica,United States,43.1045,-75.2452
Far West Ireland Brewing,Redmond,United States,47.6701,-122.118
Fauerbach Brewing Company,Madison,United States,43.0844,-89.4761
Faultline Brewing #1,Sunnyvale,United States,37.387,-121.993
Faultline Brewing #2,Walnut Creek,United States,37.8855,-122.033
Federation Brewery,Gateshead,United Kingdom,54.9548,-1.6576
FeldschlÃ¶ÃŸchen AG,Dresden,Germany,0,0
Felinfoel Brewery Co Ltd,Llanelli,United Kingdom,51.6987,-4.1456
Fifty Fifty Brewing Co.,Truckee,United States,39.322,-120.163
Firehouse Brewery & Restaurant,Red Oak,United States,41.0117,-95.2272
Firehouse Brewing,Rapid City,United States,44.0812,-103.227
Firehouse Grill & Brewery,Sunnyvale,United States,37.3775,-122.03
Firestone Walker Brewing Company,Paso Robles,United States,35.5953,-120.694
First Coast Brewing,Wilmington,United States,34.2257,-77.9447
Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897
"Fitger's Brewhouse, Brewery and Grill",Duluth,United States,46.7926,-92.0909
Fitzpatrick's Brewing,Iowa City,United States,41.6611,-91.5302
Flagstaff Brewing,Flagstaff,United States,35.1973,-111.648
Flat Branch Pub & Brewing,Columbia,United States,38.95,-92.3323
Flat Earth Brewing Company,St. Paul,United States,44.9084,-93.1538
Flatlander's Restaurant & Brewery,Lincolnshire,United States,42.2031,-87.9302
Flensburger Brauerei,Flensburg,Germany,54.779,9.4355
Florida Beer Company,Melbourne,United States,28.0707,-80.6012
Flossmoor Station Brewery,Flossmoor,United States,41.5433,-87.6789
Flour City Brewing,Rochester,United States,43.161,-77.6109
Flyers Restraunt and Brewery,Oak Harbor,United States,48.2992,-122.652
Flying Bison Brewing,Buffalo,United States,42.9561,-78.8966
Flying Dog Brewery,Denver,United States,39.7582,-104.99
Flying Fish Brewing Company,Cherry Hill,United States,39.9121,-74.9701
Folx-les-Caves,Jauche,Belgium,50.6818,4.9547
Foothills Brewing Company,Winston-Salem,United States,36.0973,-80.2509
Fordham Brewing,Annapolis,United States,38.9773,-76.4948
Fort Collins Brewery,Fort Collins,United States,40.5832,-105.042
Foster's Australia Ltd.,,Australia,0,0
Fosters Tien Gang,Thnh Pho Ho Ch Minh,Viet Nam,0,0
Founder's Restaurant & Brewing,Alexandria,United States,38.8048,-77.0469
Founders Brewing,Grand Rapids,United States,42.9585,-85.6735
Founders Hill Brewing,Downers Grove,United States,41.8089,-88.0112
Four Peaks Brewing,Tempe,United States,33.4194,-111.916
Fox River Brewing #1,Oshkosh,United States,44.0342,-88.5608
Fratellos Restaurant and Brewery,Appleton,United States,44.2678,-88.4731
Frederic Robinson Ltd.,Stockport,United Kingdom,41.499,-72.9007
Frederick Brewing,Frederick,United States,39.3628,-77.4265
Free State Brewing,Lawrence,United States,38.9718,-95.2357
Freeminer Brewery,Cinderford,United Kingdom,51.8325,-2.5116
Friesisches Brauhaus zu Jever,Jever,Germany,53.5755,7.9016
Front Street Brewery,Davenport,United States,41.5202,-90.5725
Frontwaters Restaurant and Brewing,Marblehead,United States,41.5403,-82.7355
Frstliche Brauerei Thurn Und Taxis Regensburg,Regensburg,Germany,49.0156,12.0913
Full Sail Brewing #1,Hood River,United States,45.7103,-121.515
"Fuller, Smith & Turner PBC",London,United Kingdom,51.4877,-0.2498
FÃ¼rstlich FÃ¼rstenbergische Brauerei,Donaueschingen,Germany,0,0
G. Heileman Brewing,La Crosse,United States,43.8014,-91.2396
Gaslight Brewery,South Orange,United States,40.7465,-74.2594
Gasthaus & Gosebrauerei Bayerischer Bahnhof,Leipzig,Germany,51.3397,12.3714
Gasthaus-Brauerei Max & Moritz,Kressbronn am Bodensee,Germany,47.6064,9.6061
Gasthof-Brauerei zum Frohsinn,Arbon,Switzerland,47.5171,9.43
Gatz Brauhaus,Dsseldorf,Germany,51.2249,6.7757
George Bateman and Son Ltd.,Skegness,United Kingdom,53.1691,0.3169
George Gale & Company,Portsmouth,United Kingdom,50.7989,-1.0912
Gilde Brauerei,Hannover,Germany,52.3544,9.7532
Glacial Lakes Brewing,New York Mills,United States,46.518,-95.3761
Glacier Brewhouse,Anchorage,United States,61.2179,-149.896
Glen Ellyn Sports Brew,Glen Ellyn,United States,41.8775,-88.067
Glenwood Canyon Brewing Company,Glenwood Springs,United States,39.5476,-107.323
Gold Coast Brewery,Sanctuary Cove,Australia,-27.8539,153.359
Gold Crown Brewing,Waterloo,Canada,43.4676,-80.5231
Golden City Brewery,Golden,United States,39.7546,-105.224
Golden Gate Park Brewery,San Francisco,United States,37.7749,-122.419
Golden Pacific Brewing,Berkeley,United States,37.8716,-122.273
Golden Prairie Brewing,Chicago,United States,41.9273,-87.6807
Golden Valley Brewery and Pub,McMinnville,United States,45.2104,-123.189
Goose Island Beer Company - Clybourn,Chicago,United States,41.9137,-87.6543
Goose Island Beer Company - Fulton Street,Chicago,United States,41.8871,-87.6721
Gordash Brewing Company,Fort Lauderdale,United States,26.0745,-80.1806
Gordon Biersch Brewing,San Jose,United States,37.3526,-121.893
Gore Range Brewery,Edwards,United States,39.6441,-106.596
Gottberg Brew Pub,Columbus,United States,41.4295,-97.3623
Govnor's Public House,Lake In The Hills,United States,42.1779,-88.3377
Grand Lake Brewing,Grand Lake,United States,40.2518,-105.82
Grand Teton Brewing #1,Wilson,United States,43.4988,-110.877
Grand Teton Brewing #2,Victor,United States,43.5984,-111.108
Granite City Food & Brewery - Omaha,Omaha,United States,41.2672,-96.0714
Granite City Food & Brewery - Saint Cloud,Saint Cloud,United States,45.5498,-94.2067
Granville Island Brewing,Kelowna,Canada,49.8945,-119.488
Granville Island Brewing Company,Vancouver,Canada,49.2705,-123.136
Gray Brewing,Janesville,United States,42.6793,-89.0498
Great Basin Brewing Company,Sparks,United States,39.5349,-119.754
Great Bear Brewing,Wasilla,United States,61.5816,-149.439
Great Dane Pub and Brewing #1,Madison,United States,43.0745,-89.3802
Great Dane Pub and Brewing #2,Fitchburg,United States,43.0177,-89.4232
Great Divide Brewing,Denver,United States,39.7539,-104.989
Great Lakes Brewing,Cleveland,United States,41.4844,-81.7042
Great Northern Tavern and Brewery,Keystone,United States,39.6042,-105.948
Great Waters Brewing Company,Saint Paul,United States,44.9467,-93.097
Green Bay Brewing,Green Bay,United States,44.5189,-88.0196
Green Flash Brewing,Vista,United States,33.136,-117.225
Green Mill Brewing - Saint Paul,Saint Paul,United States,44.9398,-93.1568
Green Mountain Beverage,Middlebury,United States,44.0344,-73.1735
Greene King,Bury St. Edmunds,United Kingdom,52.241,0.7157
Greenshields Brewery and Pub,Raleigh,United States,35.7721,-78.6386
Grizzly Bay Brewing,Suisun City,United States,38.2382,-122.04
Grizzly Peak Brewing,Ann Arbor,United States,42.2805,-83.749
Grolsche Bierbrouwerij,Enschede,Netherlands,52.2081,6.8163
Grumpy Troll Restaurant and Brewery,Mount Horeb,United States,43.0081,-89.7383
Grupo Modelo,Mexico City,Mexico,19.427,-99.1276
Gulpener Bierbrouwerij,Gulpen,Netherlands,50.8109,5.9213
Haarlems Biergenootschap Jopen,Haarlem,Netherlands,52.3795,4.6377
Hacker-Pschorr Bru,Mnchen,Germany,48.1391,11.5802
Hair of the Dog Brewing,Portland,United States,45.4901,-122.643
Hale's Ales #3,Seattle,United States,47.6592,-122.366
Half Moon Bay Brewing,Princeton by the Sea,United States,37.4903,-122.435
Ham's Restaurant and Brewhouse,Greenville,United States,35.6083,-77.3732
Hambleton Ales,Melmerby,United Kingdom,54.1744,-1.4844
Hampshire Brewery,Romsey,United Kingdom,50.9889,-1.4989
Hannen Brauerei,Mnchengladbach,Germany,51.1913,6.4421
Hansa Bryggeri,Bergen,Norway,60.2945,5.2592
Hanssens Artisanal,Dworp,Belgium,50.729,4.2971
Hapa*s Brew Haus and Restaurant,Kihei,United States,20.7592,-156.457
Harbor City Brewing,Port Washington,United States,43.3871,-87.8795
Harmon Brewing Company,Tacoma,United States,47.2436,-122.437
Harpoon Brewery - Boston,Boston,United States,42.3465,-71.0338
Harpoon Brewery - Windsor,Windsor,United States,43.513,-72.4015
Harvest Moon Brewery / Cafe,New Brunswick,United States,40.4962,-74.4441
Harvey & Son (Lewes),Lewes,United Kingdom,50.8742,0.0167
Harviestoun Brewery,Alva,United Kingdom,56.1531,-3.8006
Hasserder Brauerei,Wernigerode,Germany,51.8439,10.7533
Hausbrauerei Zum Schlssel,Dsseldorf,Germany,51.2261,6.7745
Hawks Brewing,Roseburg,United States,43.2165,-123.342
HC Berger Brewing,Fort Collins,United States,40.5853,-105.084
Heartland Brewery Union Square,New York,United States,40.7323,-73.9874
Heavenly Daze Brewery and Grill,Denver,United States,39.7392,-104.985
Heavyweight Brewing,Ocean,United States,39.9653,-74.3118
Heineken HungÃ¡ria,Sopron,Hungary,0,0
Heineken International,,Netherlands,0,0
Heineken Ireland,Cork,Ireland,0,0
Heineken Switzerland,Winterthur,Switzerland,47.5077,8.7302
Heller Bru Trum,Bamberg,Germany,49.892,10.8853
Hereford & Hops Restaurant and Brewpub #1,Escanaba,United States,45.7458,-87.056
Hereford & Hops Steakhouse and Brewpub #3,Wausau,United States,44.9518,-89.6657
Herkimer Pub & Brewery,Minneapolis,United States,44.9491,-93.2885
Hida Takayama Brewing Agricultural Company,Takayama,Japan,0,0
High Desert Brewing Co.,Las Cruces,United States,32.3096,-106.793
High Falls Brewing,Rochester,United States,43.1646,-77.6155
High Point Wheat Beer Company,Butler,United States,41.0016,-74.3403
Highland Brewing Company,Asheville,United States,35.5716,-82.4991
Hirschbru Privatbrauerei Hss,Sonthofen,Germany,47.5132,10.279
Hite Brewery,Seoul,"Korea, Republic of",37.5665,126.978
Hochstiftliches Brauhaus in Bayern,Motten,Germany,50.3949,9.7724
Hoepfner Privatbrauerei,Karlsruhe,Germany,49.0125,8.4264
Hofbru Kaltenhausen Salzachtal,Hallein,Austria,47.6942,13.0784
Hofbruhaus Traunstein,Traunstein,Germany,47.8691,12.6505
Hoffbrau Steaks Brewery #1,Addison,United States,32.9618,-96.8292
Hoffbrau Steaks Brewery #2,Dallas,United States,32.803,-96.7699
Hofmark Brauerei,Cham,Germany,49.1672,12.6399
Holsten-Brauerei,Hamburg,Germany,53.5621,9.9451
Hook & Ladder Brewing Company,Silver Spring,United States,38.9911,-77.0237
Hook Norton Brewery,Hook Norton,United Kingdom,51.9966,-1.4922
Hop Back Brewery,Salisbury,United Kingdom,0,0
Hoppers Seafood & Grill,Midvale,United States,40.6215,-111.866
Hoppin Frog Brewery,Akron,United States,41.0247,-81.4676
Hoppy Brewing Company,Sacramento,United States,38.5551,-121.43
Hops Grillhouse & Brewery - Cherry Creek,Denver,United States,39.7187,-104.95
Hops Haven Brew Haus,Sheboygan,United States,43.7594,-87.7228
HopTown Brewing,Pleasanton,United States,37.677,-121.898
Hopworks Urban Brewery,Portland,United States,45.4969,-122.635
Hornsby's Pubdrafts Ltd.,Modesto,United States,37.6345,-120.982
HP Bulmer,Hereford,United Kingdom,42.2626,-71.8023
Htt-Brauerei Bettenhuser,Baunatal,Germany,51.2615,9.4494
Hubcap Brewery and Kitchen,Vail,United States,39.6403,-106.374
Hudepohl-Schoenling Brewing,Cincinnati,United States,39.2651,-84.3799
Hue Brewery,Hue,Viet Nam,-33.2175,151.426
Uehara Shuzou Co. Ltd. / Echigo Beer Pub,,Japan,0,0
Humboldt Brewing,Arcata,United States,40.87,-124.087
ICOBES b.v.b.a.,Evergem,Belgium,51.1007,3.6934
Idaho Brewing,Idaho Falls,United States,43.4666,-112.034
Illinois Brewing,Bloomington,United States,40.4787,-88.9946
InBev,Leuven,Belgium,50.8865,4.7069
Independence Brew Pub,Philadelphia,United States,39.9526,-75.1594
Independence Brewing Co,Austin,United States,30.2131,-97.7358
Indian Wells Brewing,Inyokern,United States,35.6675,-117.874
Industrias La Constancia ILC,San Salvador,El Salvador,13.6998,-89.1832
Industrija Piva I Sokova Trebjesa,Nikic,Serbia and Montenegro,0,0
Inveralmond Brewery,Perth,United Kingdom,56.4174,-3.4779
Irish Brewing Company,Newbridge,Ireland,53.4863,-6.168
Iron City Brewing Co.,Pittsburgh,United States,40.461,-79.9653
Iron Hill Brewery - Newark,Newark,United States,39.6834,-75.7467
Iron Hill Brewery - Wilmingon,Wilmington,United States,39.745,-75.5561
Iron Springs Pub & Brewery,Fairfax,United States,37.986,-122.584
Island Brewing Company,Carpinteria,United States,0,0
Isle of Skye Brewing Company,Isle of Skye,United Kingdom,56.4907,-4.2026
Issaquah Brewhouse,Issaquah,United States,47.53,-122.037
Ithaca Beer Company,Ithaca,United States,42.4145,-76.5315
Jack Russell Brewing,Camino,United States,38.7563,-120.679
Jack's Brewing,Fremont,United States,37.5441,-121.988
Jacob Leinenkugel Brewing Company,Chippewa Falls,United States,44.9449,-91.3968
Jaipur Restaurant and Brewpub,Omaha,United States,41.2328,-96.0825
James Page Brewing,Minneapolis,United States,45.0039,-93.2502
Jarre Creek Ranch Brewing,Castle Rock,United States,39.3722,-104.856
Jasper Ridge Brewery,Ishpeming,United States,46.5015,-87.679
Jennings Brewery,Cockermouth,United Kingdom,54.6649,-3.3634
Jever Brewery,"Jever, Germany",Germany,53.5757,7.9003
Jinro Coors Brewing,Seoul,"Korea, Republic of",37.5665,126.978
JJ Bitting Brewing,Woodbridge,United States,40.5549,-74.2771
Jobber's Canyon Restaurant & Brewery,Omaha,United States,41.254,-95.9993
JoBoy's Brew Pub,Manheim,United States,40.1707,-76.3838
John Harvard's Brew House - Framingham,Framingham,United States,42.3037,-71.3966
John Harvard's Brew House - Harvard Square,Cambridge,United States,42.3724,-71.1193
John Harvard's Brewhouse - Wilmington,Wilmington,United States,39.7458,-75.5467
John Martin sa,Genval,Belgium,50.7298,4.508
Jolly Pumpkin Artisan Ales,Dexter,United States,42.3375,-83.8895
Joshua Huddy's Brew Pub and Grill,Toms River,United States,39.9529,-74.201
JT Whitney's Brewpub and Eatery,Madison,United States,43.0519,-89.4737
Jurupa Valley Brewing,Riverside,United States,33.9533,-117.396
JW Lees and Co (Brewers) Ltd.,Manchester,United Kingdom,53.5412,-2.1734
Kaiser-Bru,Neuhaus,Germany,49.6283,11.5498
Kaiserdom Privatbrauerei Bamberg,Bamberg,Germany,49.9043,10.8524
Kalamazoo Brewing,Kalamazoo,United States,42.2949,-85.5788
Karl Strauss Brewery Gardens - Sorrento Mesa,San Diego,United States,32.8969,-117.201
Karlovacka Pivovara,Karlovac,Croatia,45.4956,15.5331
Keesmann Bru,Bamberg,Germany,49.8904,10.9056
Keg Microbrewery & Restaurant,Stevens Point,United States,44.5236,-89.5746
Keihan Uji Kotsu,Uji,Japan,0,0
Kelmer's Brewhouse,Santa Rosa,United States,38.4405,-122.714
Kentucky Hemp Beer Company,Lexington,United States,38.0317,-84.4951
Kenya Breweries,Nairobi,Kenya,-1.2833,36.8167
Kessler Brewing,Helena,United States,46.5958,-112.027
King and Barnes,Horsham,United Kingdom,51.0638,-0.327
"Kirin Brewery Company, Ltd",,Japan,0,0
Kiuchi Shuzou Goushi Kaisya,Ibaraki,Japan,0,0
Kleinbrouwerij de Glazen Toren,Erpe-Mere,Belgium,50.9193,3.9666
Klosterbrauerei Neuzelle,Neuzelle,Germany,52.091,14.6509
Klosterbrauerei Weltenburg,Regensburg,Germany,49.0144,12.075
Klosterbru Bamberg,Bamberg,Germany,49.8891,10.887
Knig Brauerei,Duisburg,Germany,51.5314,6.7418
Knig Ludwig Schlobrauerei Kaltenberg,Frstenfeldbruck,Germany,48.1826,11.2522
Knigsbacher Brauerei,Koblenz,Germany,50.3216,7.5862
Knigsegger WalderBru,Knigseggwald,Germany,47.9262,9.4204
Kona Brewing,Kailua-Kona,United States,19.642,-155.996
KÃ¶stritzer Schwarzbierbrauerei,Bad KÃ¶stritz,Germany,0,0
KrÃ¡lovskÃ½ pivovar KruÅ¡ovice,KruÅ¡ovice,Czech Republic,0,0
Krogh's Restaurant and Brewpub,Sparta,United States,41.0323,-74.6407
Kross Brewing,Morrisville,United States,44.5617,-72.5984
Kuhnhenn Brewing,Warren,United States,42.5278,-83.0472
Kulmbacher Brauerei AG,Kulmbach,Germany,50.106,11.4442
Kulmbacher Mnchshof Bru,Kulmbach,Germany,50.1077,11.453
La Jolla Brew House,La Jolla,United States,32.8409,-117.274
La Jolla Brewing,La Jolla,United States,33.8575,-117.876
Labatt / Keith's Brewery / Oland Breweries,Halifax,Canada,44.6598,-63.5997
Labatt Ontario Breweries,London,Canada,42.9778,-81.2467
LaConner Brewing,LaConner,United States,48.3917,-122.495
Lafayette Brewing,Lafayette,United States,40.4194,-86.89
Lagunitas Brewing Company,Petaluma,United States,38.2724,-122.662
Lake Louie Brewing,Arena,United States,43.1706,-89.9324
Lake Placid Pub & Brewery,Lake Placid,United States,44.2829,-73.9813
Lake Superior Brewing,Duluth,United States,46.7611,-92.1319
Lakefront Brewery,Milwaukee,United States,43.0547,-87.9053
Lammin Sahti Oy,Lammi,Finland,0,0
Lancaster Brewing Co.,Lancaster,United States,40.0438,-76.2984
Lanchester Brewing,Durham,United Kingdom,54.8229,-1.7457
Lang Creek Brewry,Marion,United States,48.014,-115.011
Latrobe Brewing,Latrobe,United States,40.3212,-79.3795
Laughing Dog Brewing,Ponderay,United States,48.3003,-116.538
Lazy Magnolia Brewing Company,Kiln,United States,30.3764,-89.4497
Le Cheval Blanc,Montreal,Canada,45.5181,-73.5642
Left Coast Brewing,San Clemente,United States,33.4577,-117.589
Left Hand Brewing Company,Longmont,United States,40.1587,-105.113
Legacy Brewing Co.,Reading,United States,40.3256,-75.9283
Legends Brewhouse & Eatery of Green Bay,Green Bay,United States,44.5534,-88.0977
Leinenkugel's Ballyard Brewery,Phoenix,United States,33.4484,-112.074
Lewis & Clark Brewing Company,Helena,United States,46.5977,-112.037
Liberty Steakhouse and Brewery,Myrtle Beach,United States,33.7187,-78.8831
Licher Privatbrauerei,Lich,Germany,50.5208,8.8166
Liefmans Breweries,Dentergem,Belgium,50.9649,3.422
Lift Bridge Brewery,Stillwater,United States,45.0565,-92.8222
Lighthouse Brewing,Victoria,Canada,48.4358,-123.396
Lightning Boy Brewery,Belgrade,United States,45.7786,-111.179
Limburg Beer Company,Hawkes Bay,New Zealand,-39.6275,176.854
Lion Brewery Ceylon Ltd.,Colombo,Sri Lanka,38.7548,-9.1883
Lion Brewery Inc.,Wilkes Barre,United States,41.2557,-75.8583
Lion Nathan Australia  Hunter Street,Sydney,Australia,-33.8687,151.217
Listermann Brewing Company,Cincinnati,United States,39.1456,-84.4741
Little Apple Brewing,Manhattan,United States,39.1836,-96.5717
Little Creatures Brewery,Fremantle,Australia,-32.0597,115.745
Live Oak Brewing,Austin,United States,30.2541,-97.7055
Loaf and Stein Brewing,Eagle River,United States,45.9172,-89.2443
Lobkowiczk Pivovar Vysok Chlumec,Vysok Chlumec,Czech Republic,49.6206,14.3837
Logjam Microbrewery,Unity,United States,44.8516,-90.3165
Long Trail Brewing Co,Bridgewater Corners,United States,43.5882,-72.6563
Long Valley Pub & Brewery,Long Valley,United States,40.7843,-74.78
Lost Coast Brewery,Eureka,United States,40.8032,-124.165
LÃ¶wenbrÃ¤u Brauerei,MÃ¼nchen,Germany,0,0
Lwenbru Munich,Toronto,Canada,43.7379,-79.5714
Lwenbru Zrich,Zrich,Switzerland,47.3642,8.5245
Maclay and Co.,Clackmannan,United Kingdom,56.1073,-3.7528
Mad Anthony Brewing,Fort Wayne,United States,41.0677,-85.1524
Mad Crab Restaurant and Brewery,Strongsville,United States,41.3145,-81.8357
Mad River Brewing,Blue Lake,United States,40.879,-123.993
Mad River Brewing Company,Blue Lake,United States,40.8786,-123.992
Magic Hat,South Burlington,United States,44.4284,-73.2131
Magnolia Pub and Brewery,San Francisco,United States,37.7702,-122.445
Main Street Alehouse,Gresham,United States,45.5001,-122.431
Main Street Beer Company #1,Richmond,United States,37.543,-77.4691
Main Street Brewery,Corona,United States,33.8835,-117.565
Main Street Brewing,Dallas,United States,32.803,-96.7699
"Main Street Station Casino, Brewery and Hotel",Las Vegas,United States,36.1755,-115.145
Maisel Bru,Bamberg,Germany,49.8928,10.9131
Malt Shovel Brewery,Camperdown,Australia,-33.8867,151.174
Mambo Beer,Mequon,United States,43.2167,-87.924
Mammoth Brewing,Mammoth Lakes,United States,37.6484,-118.983
Manayunk Brewery and Restaurant,Philadelphia,United States,40.0236,-75.2202
Manhattan Beach Brewing,Manhattan Beach,United States,33.8844,-118.411
Marble Brewery,Albuquerque,United States,35.0928,-106.647
Margaritaville Brewing Company,Jacksonville,United States,30.3617,-81.6966
Marin Brewing,Larkspur Landing,United States,37.9479,-122.511
Marine Pub & Brewhouse,Burnaby,Canada,49.2055,-122.978
Maritime Pacific Brewing,Seattle,United States,47.6637,-122.377
Marquette Harbor Brewery and Restaurant,Marquette,United States,46.5431,-87.3929
Marshall Brewing Company,Tulsa,United States,36.152,-95.9647
Martini-Brauerei,Kassel,Germany,51.3175,9.4793
Marzoni's Brick Oven & Brewing Co,Duncansville,United States,40.4234,-78.4339
Mash House Restaurant and Brewery,Fayetteville,United States,35.0707,-78.9545
Matilda Bay Brewing,North Fremantle,Australia,-32.0232,115.754
Maui Brewing Co.,"Lahaina, Maui",United States,20.9721,-156.677
Maumee Bay Brewing,Toledo,United States,41.6432,-83.5384
McCashin's Brewery & Malthouse,Nelson,New Zealand,40.1989,-98.0673
McCoy's Public House and Brewkitchen,Kansas City,United States,39.0534,-94.5919
McGuire's Irish Pub and Brewery - Pensacola,Pensacola,United States,30.4181,-87.2024
McKenzie Brew House,Glen Mills,United States,39.8658,-75.5442
McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211
McMullen & Sons,Hertford,United Kingdom,51.7975,-0.0806
Meantime Brewing Company Limited,Greenwich,United Kingdom,51.4899,0.038
Meckatzer Lwenbru,Heimenkirch,Germany,47.6308,9.8889
Mehana Brewing,Hilo,United States,19.706,-155.069
Mendocino Brewing - Hopland,Hopland,United States,38.9734,-123.116
Mendocino Brewing - Saratoga Springs,Saratoga Springs,United States,43.0831,-73.7846
Mendocino Brewing - Ukiah,Ukiah,United States,39.1326,-123.201
Mercury Brewing Company,Ipswich,United States,42.6728,-70.844
Metropolitan Brewing,Chicago,United States,41.975,-87.674
Mia and Pia's Pizzeria and Brewhouse,Klamath Falls,United States,42.2249,-121.782
Michigan Brewing,Webberville,United States,42.6616,-84.1946
Mickey Finn's Brewery,Libertyville,United States,42.2872,-87.9538
