name,city,country,latitude,longitude
Berliner-Kindl-Schultheiss-Brauerei,Berlin,Germany,52.5234,13.4114
Bersaglier,San Martin,Argentina,0,0
Bethlehem Brew Works,Bethlehem,United States,40.622,-75.382
Bibiana Brewing,Urbana,United States,40.1106,-88.2073
Biddy Early Brewery,Ennis,Ireland,32.3293,-96.6253
Bierbrouwerij Bavaria,Lieshout,Netherlands,51.5163,5.5977
Bierbrouwerij De Koningshoeven,Berkel-Enschot,Netherlands,51.544,5.1285
Bierbrouwerij St.Christoffel,Roermond,Netherlands,51.1684,6.0515
Big Bang Brewery (Closed),San Francisco,United States,37.7756,-122.398
Big Boss Brewing Company,Raleigh,United States,35.8104,-78.6179
Big Buck Brewery,Gaylord,United States,45.0223,-84.6826
Big Buck Brewery and Steakhouse #2,Grand Rapids,United States,42.9634,-85.6681
Big Dog's Brewing Company,Las Vegas,United States,36.2426,-115.236
Big Hole Brewing,Belgrade,United States,45.7736,-111.172
Big Horn Brewing @ The RAM 2,Wheeling,United States,42.1511,-87.9144
Big Ridge Brewing,Surrey,Canada,49.1049,-122.69
Big River Brewing,Richmond,Canada,49.1344,-123.065
Big Rock Brewery,Calgary,Canada,50.9847,-113.956
Big Sky Brewing,Missoula,United States,46.9223,-114.073
Big Time Brewing,Seattle,United States,47.6576,-122.313
Bill's Tavern & Brewhouse,Cannon Beach,United States,45.8981,-123.961
Binding Brauerei AG,Frankfurt am Main,Germany,50.0943,8.6913
Birra Forst,Lagundo / Algund,Italy,0,0
Birra Moretti,Udine,Italy,46.0597,13.2269
Birrificia Le Baladin,Piozzo,Italy,44.5153,7.8922
Birrificio Torrechiara,Torrechiara,Italy,44.6601,10.2814
Bison Brewing,Berkeley,United States,37.8634,-122.259
Bitburger Brauerei,Bitburg,Germany,49.974,6.5227
"BJ's Pizza, Grill, and Brewery - Jantzen Beach",Portland,United States,45.5235,-122.676
BJ's Restaurant and Brewery,Brea,United States,33.9132,-117.889
Black Sheep Brewery,Ripon,United Kingdom,0,0
Black Toad Brewing Company,Chicago,United States,41.8817,-87.6926
Blacksburg Brewing Company,Blacksburg,United States,37.23,-80.41
Blackstone Restaurant & Brewery,Nashville,United States,36.152,-86.7989
Blicks Brewing,Colorado Springs,United States,38.8339,-104.821
Blitz-Weinhard Brewing,Portland,United States,45.5325,-122.686
Bloomington Brewing Company,Bloomington,United States,39.1716,-86.5104
BluCreek Brewing Company,Madison,United States,43.0598,-89.3085
Blue Cat Brew Pub,Rock Island,United States,41.5118,-90.5746
Blue Corn Caf and Brewery - Albuquerque,Albuquerque,United States,35.0845,-106.651
Blue Point Brewing,Patchogue,United States,40.7591,-73.0215
Blue Ridge Brewing,Greenville,United States,34.8531,-82.3983
"Bluegrass Brewing Company, Inc.",Louisville,United States,38.253,-85.654
Bobcat Cafe & Brewery,Bristol,United States,44.1332,-73.0784
Boddington's Brewery,Manchester,United Kingdom,53.4807,-2.2344
Boiler Room Brewpub,Laughlin,United States,35.1584,-114.573
Bonaventure Brewing Co,Los Angeles,United States,34.0532,-118.256
Bonfire Brewery,Northville,United States,42.4311,-83.4833
Boon Rawd Brewery,Bangkok,Thailand,13.7783,100.509
Bootleggers Steakhouse and Brewery,Bakersfield,United States,35.3733,-119.019
Borsodi SÃ¶rgyÃ¡r,BÃ¶cs,Hungary,0,0
Boscos Memphis Brewing,Germantown,United States,35.0868,-89.8101
BOSS Browar Witnica S.A.,Witnica,Poland,52.6739,14.9004
Boston Beer Company,Boston,United States,42.3144,-71.1034
Boston Beer Works,Boston,United States,42.347,-71.0989
Bottom's Up Brewing,Pinedale,United States,42.8666,-109.866
Boulder Beer Company,Boulder,United States,40.0267,-105.248
Boulevard Brewing Company,Kansas City,United States,39.0821,-94.5965
Boundary Bay Brewery and Bistro,Bellingham,United States,48.7475,-122.481
Brasal-Brasserie Allemande,LaSalle,Canada,45.4289,-73.6313
Brasserie Artisanale de Rulles,Habay-Rulles,Belgium,49.7185,5.5571
Brasserie Bnifontaine,Bnifontaine,France,50.4852,2.8306
Brasserie Clarysse,Oudenaarde,Belgium,50.8431,3.6077
Brasserie D'Achouffe,Houffalize-Achouffe,Belgium,50.1507,5.7442
Brasserie d'Ecaussinnes,Ecaussinnes,Belgium,50.5593,4.1365
Brasserie d'Orval,Villers-devant-Orval,Belgium,0,0
Brasserie de Blaugies,Blaugies,Belgium,50.3693,3.827
Brasserie de Brunehaut,Brunehaut,Belgium,50.5109,3.3883
Brasserie de Cazeau,,Belgium,0,0
Brasserie de l'Abbaye de Scourmont (Trappistes),Chimay-Forges,Belgium,49.9842,4.3111
Brasserie De L'Abbaye Des Rocs,Montignies-sur-Roc,Belgium,50.3705,3.7263
Brasserie de l'Abbaye Val-Dieu,Aubel,Belgium,50.7046,5.822
Brasserie de la Senne,Sint-Pieters-Leeuw,Belgium,50.7853,4.2437
Brasserie De Saint Sylvestre,St-Sylvestre-Cappel,France,50.7975,2.5412
Brasserie De Silenrieux,Cerfontaine-Silenrieux,Belgium,50.2248,4.4102
Brasserie de Silly,Silly,Belgium,50.6493,3.9242
Brasserie de Tahiti,Tahiti,French Polynesia,-17.6797,-149.407
Brasserie de Vervifontaine,Jalhay-Vervifontaine,Belgium,0,0
Brasserie des Cimes,Aix les Bains,France,45.7075,5.9153
Brasserie des Franches-Montagnes,Saignelgier,Switzerland,47.2543,7.0026
Brasserie des Gants,Irchonwelz,Belgium,50.6204,3.7592
Brasserie des Vosges,Dommartin les Remiremont,France,48.0028,6.6583
Brasserie du Benin,Lom,Togo,32.3906,-93.3739
Brasserie du Bocq,Purnode,Belgium,50.3114,4.9435
Brasserie Dubuisson,Pipaix,Belgium,50.5779,3.5554
Brasserie Dupont,Tourpes,Belgium,50.5718,3.6508
Brasserie Duyck,Jenlain,France,50.3089,3.6285
Brasserie Ellezelloise,Ellezelles,Belgium,50.7428,3.6875
Brasserie Fantme,Soy,Belgium,50.286,5.5127
Brasserie Grain D'Orge,Ronchin,France,50.6054,3.0775
Brasserie La Binchoise,Binche,Belgium,50.408,4.1659
Brasserie La Caracole,Falmignoul,Belgium,50.2024,4.8914
Brasserie La Choulette,Hordain,France,50.2601,3.3125
Brasserie Lefebvre,Quenast,Belgium,50.6746,4.1509
Brasserie McAuslan,Montreal,Canada,45.4682,-73.5913
Brasserie Pietra,Furiani,France,42.6483,9.4529
Brasserie Thiriez,Esquelbecq,France,50.8851,2.4329
Brasserie Val de Sambre,Goze,Belgium,50.3682,4.3266
Brasserie-Brouwerij Cantillon,Anderlecht,Belgium,50.8416,4.3355
Brasseries Kronenbourg,Strasbourg,France,48.593,7.7149
Brauerei & Gasthof zur Krone,Tettnang,Germany,47.6715,9.5888
Brauerei Aying Franz Inselkammer KG,Aying,Germany,47.9706,11.7808
Brauerei Beck,Bremen,Germany,53.0787,8.7901
Brauerei C. & A. Veltins GmbH & Co.,Meschede,Germany,51.3055,8.1259
Brauerei Fssla,Bamberg,Germany,49.8942,10.8855
Brauerei Gbr. Maisel KG,Bayreuth,Germany,49.9477,11.5659
Brauerei Grieskirchen AG,Grieskirchen,Austria,48.2351,13.8292
Brauerei Gss,Leoben-Gss,Austria,47.3625,15.0947
Brauerei Herrenhausen,Hannover,Germany,52.3935,9.6814
Brauerei Hrle,Leutkirch im AllgÃ¤u,Germany,47.8243,10.0239
Brauerei Hrlimann,Zrich,Switzerland,47.3642,8.5245
Brauerei im Fchschen,DÃ¼sseldorf,Germany,0,0
Brauerei Leibinger,Ravensburg,Germany,47.7818,9.6215
Brauerei Locher AG,Appenzell,Switzerland,47.3301,9.4135
Brauerei Reissdorf,Kln,Germany,50.8753,6.9944
Brauerei Schtzengarten,Sankt-Gallen,Switzerland,47.4301,9.3794
Brauerei Schumacher,Dsseldorf,Germany,51.2216,6.7853
Brauerei Schwelm,Schwelm,Germany,51.2847,7.2936
Brauerei Spezial,Bamberg,Germany,49.8942,10.8855
Brauerei und Altbierkche Pinkus Mller,Mnster,Germany,51.9657,7.6214
Brauerei Wieselburg,Wieselburg,Austria,48.1306,15.1386
Brauereigasthof Adler,Herbertingen,Germany,48.0778,9.3996
Brauhaus am WaldschlÃ¶sschen,Dresden,Germany,0,0
Brauhaus Brew Hall,Lucan,United States,44.4105,-95.4107
Brauhaus Faust,Miltenberg,Germany,49.6993,9.2492
Brauhaus Johann Albrecht - Dsseldorf,Dsseldorf,Germany,51.2404,6.7516
Brauhaus Johann Albrecht - Konstanz,Konstanz,Germany,47.6651,9.175
Brauhaus Onuma,Onuma,Japan,43.0646,141.347
Brauhaus Sion,Kln,Germany,50.9394,6.9594
Brauhaus Sternen,Frauenfeld,Switzerland,47.5585,8.9006
Brausttte der Steirerbrau Aktiengesellschaft,Graz,Austria,47.0679,15.4417
Breckenridge BBQ of Omaha,Omaha,United States,41.254,-95.9993
Breckenridge Brewery,Denver,United States,39.7236,-105.001
Brennerei-Distillerie Radermacher,Raeren,Belgium,50.6718,6.122
Brew Kettle Taproom & Smokehouse BOP,Strongsville,United States,41.347,-81.8226
Brew Makers,Mountain View,United States,37.3861,-122.084
BrewDog Ltd,Fraserburgh,United Kingdom,57.683,-2.003
Brewer's Art,Baltimore,United States,39.3028,-76.6164
Brewery at Martha's Vineyard,Oak Bluffs,United States,41.4548,-70.565
Brewery Belle-Vue,Molenbeek,Belgium,50.8527,4.3311
Brewery Budweiser Budvar,,Czech Republic,48.9739,14.475
Brewery Corsendonk,Oud-Turnhout,Belgium,51.3144,4.989
Brewery Creek Brewing,Mineral Point,United States,42.8606,-90.1772
Brewery De Troch,Ternat,Belgium,50.853,4.1649
Brewery Ommegang,Cooperstown,United States,42.6818,-74.9255
Brewmasters Restaurant and Brewery South,Kenosha,United States,42.5847,-87.8212
Brewpub-on-the-Green,Fremont,United States,37.5483,-121.989
Breznak,,Czech Republic,0,0
